numOfLayer;numOnLayer;t;x;u;c;u+c;u-c;
1;213;0;3.20232;0;1;1;-1;
1;214;0;3.21231;0;1;1;-1;
1;215;0;3.2223;0;1;1;-1;
1;216;0;3.2323;0;1;1;-1;
1;217;0;3.24229;0;1;1;-1;
1;218;0;3.25229;0;1;1;-1;
1;219;0;3.26228;0;1;1;-1;
1;220;0;3.27228;0;1;1;-1;
1;221;0;3.28227;0;1;1;-1;
1;222;0;3.29227;0;1;1;-1;
1;223;0;3.30226;0;1;1;-1;
1;224;0;3.31225;0;1;1;-1;
1;225;0;3.32225;0;1;1;-1;
1;226;0;3.33224;0;1;1;-1;
1;227;0;3.34224;0;1;1;-1;
1;228;0;3.35223;0;1;1;-1;
1;229;0;3.36223;0;1;1;-1;
1;230;0;3.37222;0;1;1;-1;
1;231;0;3.38222;0;1;1;-1;
1;232;0;3.39221;0;1;1;-1;
1;233;0;3.40221;0;1;1;-1;
1;234;0;3.4122;0;1;1;-1;
1;235;0;3.42219;0;1;1;-1;
1;236;0;3.43219;0;1;1;-1;
1;237;0;3.44218;0;1;1;-1;
1;238;0;3.45218;0;1;1;-1;
1;239;0;3.46217;0;1;1;-1;
1;240;0;3.47217;0;1;1;-1;
1;241;0;3.48216;0;1;1;-1;
1;242;0;3.49216;0;1;1;-1;
1;243;0;3.50215;0;1;1;-1;
1;244;0;3.51214;0;1;1;-1;
1;245;0;3.52214;0;1;1;-1;
1;246;0;3.53213;0;1;1;-1;
1;247;0;3.54213;0;1;1;-1;
1;248;0;3.55212;0;1;1;-1;
1;249;0;3.56212;0;1;1;-1;
1;250;0;3.57211;0;1;1;-1;
1;251;0;3.58211;0;1;1;-1;
1;252;0;3.5921;0;1;1;-1;
1;253;0;3.60209;0;1;1;-1;
1;254;0;3.61209;0;1;1;-1;
1;255;0;3.62208;0;1;1;-1;
1;256;0;3.63208;0;1;1;-1;
1;257;0;3.64207;0;1;1;-1;
1;258;0;3.65207;0;1;1;-1;
1;259;0;3.66206;0;1;1;-1;
1;260;0;3.67206;0;1;1;-1;
1;261;0;3.68205;0;1;1;-1;
1;262;0;3.69205;0;1;1;-1;
1;263;0;3.70204;0;1;1;-1;
1;264;0;3.71203;0;1;1;-1;
1;265;0;3.72203;0;1;1;-1;
1;266;0;3.73202;0;1;1;-1;
1;267;0;3.74202;0;1;1;-1;
1;268;0;3.75201;0;1;1;-1;
1;269;0;3.76201;0;1;1;-1;
1;270;0;3.772;0;1;1;-1;
1;271;0;3.782;0;1;1;-1;
1;272;0;3.79199;0;1;1;-1;
1;273;0;3.80198;0;1;1;-1;
1;274;0;3.81198;0;1;1;-1;
1;275;0;3.82197;0;1;1;-1;
1;276;0;3.83197;0;1;1;-1;
1;277;0;3.84196;0;1;1;-1;
1;278;0;3.85196;0;1;1;-1;
1;279;0;3.86195;0;1;1;-1;
1;280;0;3.87195;0;1;1;-1;
1;281;0;3.88194;0;1;1;-1;
1;282;0;3.89193;0;1;1;-1;
1;283;0;3.90193;0;1;1;-1;
1;284;0;3.91192;0;1;1;-1;
1;285;0;3.92192;0;1;1;-1;
1;286;0;3.93191;0;1;1;-1;
1;287;0;3.94191;0;1;1;-1;
1;288;0;3.9519;0;1;1;-1;
1;289;0;3.9619;0;1;1;-1;
1;290;0;3.97189;0;1;1;-1;
1;291;0;3.98188;0;1;1;-1;
1;292;0;3.99188;0;1;1;-1;
1;293;0;4.00187;0;1;1;-1;
1;294;0;4.01187;0;1;1;-1;
1;295;0;4.02186;0;1;1;-1;
1;296;0;4.03186;0;1;1;-1;
1;297;0;4.04185;0;1;1;-1;
1;298;0;4.05185;0;1;1;-1;
1;299;0;4.06184;0;1;1;-1;
1;300;0;4.07184;0;1;1;-1;
1;301;0;4.08183;0;1;1;-1;
1;302;0;4.09182;0;1;1;-1;
1;303;0;4.10182;0;1;1;-1;
1;304;0;4.11181;0;1;1;-1;
1;305;0;4.12181;0;1;1;-1;
1;306;0;4.1318;0;1;1;-1;
1;307;0;4.1418;0;1;1;-1;
1;308;0;4.15179;0;1;1;-1;
1;309;0;4.16179;0;1;1;-1;
1;310;0;4.17178;0;1;1;-1;
1;311;0;4.18177;0;1;1;-1;
1;312;0;4.19177;0;1;1;-1;
1;313;0;4.20176;0;1;1;-1;
1;314;0;4.21176;0;1;1;-1;
1;315;0;4.22175;0;1;1;-1;
1;316;0;4.23175;0;1;1;-1;
1;317;0;4.24174;0;1;1;-1;
1;318;0;4.25174;0;1;1;-1;
1;319;0;4.26173;0;1;1;-1;
1;320;0;4.27172;0;1;1;-1;
1;321;0;4.28172;0;1;1;-1;
1;322;0;4.29171;0;1;1;-1;
1;323;0;4.30171;0;1;1;-1;
1;324;0;4.3117;0;1;1;-1;
1;325;0;4.3217;0;1;1;-1;
1;326;0;4.33169;0;1;1;-1;
1;327;0;4.34169;0;1;1;-1;
1;328;0;4.35168;0;1;1;-1;
1;329;0;4.36168;0;1;1;-1;
1;330;0;4.37167;0;1;1;-1;
1;331;0;4.38166;0;1;1;-1;
1;332;0;4.39166;0;1;1;-1;
1;333;0;4.40165;0;1;1;-1;
1;334;0;4.41165;0;1;1;-1;
1;335;0;4.42164;0;1;1;-1;
1;336;0;4.43164;0;1;1;-1;
1;337;0;4.44163;0;1;1;-1;
1;338;0;4.45163;0;1;1;-1;
1;339;0;4.46162;0;1;1;-1;
1;340;0;4.47161;0;1;1;-1;
1;341;0;4.48161;0;1;1;-1;
1;342;0;4.4916;0;1;1;-1;
1;343;0;4.5016;0;1;1;-1;
1;344;0;4.51159;0;1;1;-1;
1;345;0;4.52159;0;1;1;-1;
1;346;0;4.53158;0;1;1;-1;
1;347;0;4.54158;0;1;1;-1;
1;348;0;4.55157;0;1;1;-1;
1;349;0;4.56156;0;1;1;-1;
1;350;0;4.57156;0;1;1;-1;
1;351;0;4.58155;0;1;1;-1;
1;352;0;4.59155;0;1;1;-1;
1;353;0;4.60154;0;1;1;-1;
1;354;0;4.61154;0;1;1;-1;
1;355;0;4.62153;0;1;1;-1;
1;356;0;4.63153;0;1;1;-1;
1;357;0;4.64152;0;1;1;-1;
1;358;0;4.65151;0;1;1;-1;
1;359;0;4.66151;0;1;1;-1;
1;360;0;4.6715;0;1;1;-1;
1;361;0;4.6815;0;1;1;-1;
1;362;0;4.69149;0;1;1;-1;
1;363;0;4.70149;0;1;1;-1;
1;364;0;4.71148;0;1;1;-1;
1;365;0;4.72148;0;1;1;-1;
1;366;0;4.73147;0;1;1;-1;
1;367;0;4.74147;0;1;1;-1;
1;368;0;4.75146;0;1;1;-1;
1;369;0;4.76145;0;1;1;-1;
1;370;0;4.77145;0;1;1;-1;
1;371;0;4.78144;0;1;1;-1;
1;372;0;4.79144;0;1;1;-1;
1;373;0;4.80143;0;1;1;-1;
1;374;0;4.81143;0;1;1;-1;
1;375;0;4.82142;0;1;1;-1;
1;376;0;4.83142;0;1;1;-1;
1;377;0;4.84141;0;1;1;-1;
1;378;0;4.8514;0;1;1;-1;
1;379;0;4.8614;0;1;1;-1;
1;380;0;4.87139;0;1;1;-1;
1;381;0;4.88139;0;1;1;-1;
1;382;0;4.89138;0;1;1;-1;
1;383;0;4.90138;0;1;1;-1;
1;384;0;4.91137;0;1;1;-1;
1;385;0;4.92137;0;1;1;-1;
1;386;0;4.93136;0;1;1;-1;
1;387;0;4.94135;0;1;1;-1;
1;388;0;4.95135;0;1;1;-1;
1;389;0;4.96134;0;1;1;-1;
1;390;0;4.97134;0;1;1;-1;
1;391;0;4.98133;0;1;1;-1;
1;392;0;4.99133;0;1;1;-1;
1;393;0;5.00132;0;1;1;-1;
1;394;0;5.01132;0;1;1;-1;
1;395;0;5.02131;0;1;1;-1;
1;396;0;5.03131;0;1;1;-1;
1;397;0;5.0413;0;1;1;-1;
1;398;0;5.05129;0;1;1;-1;
1;399;0;5.06129;0;1;1;-1;
1;400;0;5.07128;0;1;1;-1;
1;401;0;5.08128;0;1;1;-1;
1;402;0;5.09127;0;1;1;-1;
1;403;0;5.10127;0;1;1;-1;
1;404;0;5.11126;0;1;1;-1;
1;405;0;5.12126;0;1;1;-1;
1;406;0;5.13125;0;1;1;-1;
1;407;0;5.14124;0;1;1;-1;
1;408;0;5.15124;0;1;1;-1;
1;409;0;5.16123;0;1;1;-1;
1;410;0;5.17123;0;1;1;-1;
1;411;0;5.18122;0;1;1;-1;
1;412;0;5.19122;0;1;1;-1;
1;413;0;5.20121;0;1;1;-1;
1;414;0;5.21121;0;1;1;-1;
1;415;0;5.2212;0;1;1;-1;
1;416;0;5.23119;0;1;1;-1;
1;417;0;5.24119;0;1;1;-1;
1;418;0;5.25118;0;1;1;-1;
1;419;0;5.26118;0;1;1;-1;
1;420;0;5.27117;0;1;1;-1;
1;421;0;5.28117;0;1;1;-1;
1;422;0;5.29116;0;1;1;-1;
1;423;0;5.30116;0;1;1;-1;
1;424;0;5.31115;0;1;1;-1;
1;425;0;5.32114;0;1;1;-1;
1;426;0;5.33114;0;1;1;-1;
1;427;0;5.34113;0;1;1;-1;
1;428;0;5.35113;0;1;1;-1;
1;429;0;5.36112;0;1;1;-1;
1;430;0;5.37112;0;1;1;-1;
1;431;0;5.38111;0;1;1;-1;
1;432;0;5.39111;0;1;1;-1;
1;433;0;5.4011;0;1;1;-1;
1;434;0;5.4111;0;1;1;-1;
1;435;0;5.42109;0;1;1;-1;
1;436;0;5.43108;0;1;1;-1;
1;437;0;5.44108;0;1;1;-1;
1;438;0;5.45107;0;1;1;-1;
1;439;0;5.46107;0;1;1;-1;
1;440;0;5.47106;0;1;1;-1;
1;441;0;5.48106;0;1;1;-1;
1;442;0;5.49105;0;1;1;-1;
1;443;0;5.50105;0;1;1;-1;
1;444;0;5.51104;0;1;1;-1;
1;445;0;5.52103;0;1;1;-1;
1;446;0;5.53103;0;1;1;-1;
1;447;0;5.54102;0;1;1;-1;
1;448;0;5.55102;0;1;1;-1;
1;449;0;5.56101;0;1;1;-1;
1;450;0;5.57101;0;1;1;-1;
1;451;0;5.581;0;1;1;-1;
1;452;0;5.591;0;1;1;-1;
1;453;0;5.60099;0;1;1;-1;
1;454;0;5.61098;0;1;1;-1;
1;455;0;5.62098;0;1;1;-1;
1;456;0;5.63097;0;1;1;-1;
1;457;0;5.64097;0;1;1;-1;
1;458;0;5.65096;0;1;1;-1;
1;459;0;5.66096;0;1;1;-1;
1;460;0;5.67095;0;1;1;-1;
1;461;0;5.68095;0;1;1;-1;
1;462;0;5.69094;0;1;1;-1;
1;463;0;5.70094;0;1;1;-1;
1;464;0;5.71093;0;1;1;-1;
1;465;0;5.72092;0;1;1;-1;
1;466;0;5.73092;0;1;1;-1;
1;467;0;5.74091;0;1;1;-1;
1;468;0;5.75091;0;1;1;-1;
1;469;0;5.7609;0;1;1;-1;
1;470;0;5.7709;0;1;1;-1;
1;471;0;5.78089;0;1;1;-1;
1;472;0;5.79089;0;1;1;-1;
1;473;0;5.80088;0;1;1;-1;
1;474;0;5.81087;0;1;1;-1;
1;475;0;5.82087;0;1;1;-1;
1;476;0;5.83086;0;1;1;-1;
1;477;0;5.84086;0;1;1;-1;
1;478;0;5.85085;0;1;1;-1;
1;479;0;5.86085;0;1;1;-1;
1;480;0;5.87084;0;1;1;-1;
1;481;0;5.88084;0;1;1;-1;
1;482;0;5.89083;0;1;1;-1;
1;483;0;5.90082;0;1;1;-1;
1;484;0;5.91082;0;1;1;-1;
1;485;0;5.92081;0;1;1;-1;
1;486;0;5.93081;0;1;1;-1;
1;487;0;5.9408;0;1;1;-1;
1;488;0;5.9508;0;1;1;-1;
1;489;0;5.96079;0;1;1;-1;
1;490;0;5.97079;0;1;1;-1;
1;491;0;5.98078;0;1;1;-1;
1;492;0;5.99077;0;1;1;-1;
1;493;0;6.00077;0;1;1;-1;
1;494;0;6.01076;0;1;1;-1;
1;495;0;6.02076;0;1;1;-1;
1;496;0;6.03075;0;1;1;-1;
1;497;0;6.04075;0;1;1;-1;
1;498;0;6.05074;0;1;1;-1;
1;499;0;6.06074;0;1;1;-1;
1;500;0;6.07073;0;1;1;-1;
1;501;0;6.08073;0;1;1;-1;
1;502;0;6.09072;0;1;1;-1;
1;503;0;6.10071;0;1;1;-1;
1;504;0;6.11071;0;1;1;-1;
1;505;0;6.1207;0;1;1;-1;
1;506;0;6.1307;0;1;1;-1;
1;507;0;6.14069;0;1;1;-1;
1;508;0;6.15069;0;1;1;-1;
1;509;0;6.16068;0;1;1;-1;
1;510;0;6.17068;0;1;1;-1;
1;511;0;6.18067;0;1;1;-1;
1;512;0;6.19066;0;1;1;-1;
1;513;0;6.20066;0;1;1;-1;
1;514;0;6.21065;0;1;1;-1;
1;515;0;6.22065;0;1;1;-1;
1;516;0;6.23064;0;1;1;-1;
1;517;0;6.24064;0;1;1;-1;
1;518;0;6.25063;0;1;1;-1;
1;519;0;6.26063;0;1;1;-1;
1;520;0;6.27062;0;1;1;-1;
1;521;0;6.28061;0;1;1;-1;
1;522;0;6.29061;0;1;1;-1;
1;523;0;6.3006;0;1;1;-1;
1;524;0;6.3106;0;1;1;-1;
1;525;0;6.32059;0;1;1;-1;
1;526;0;6.33059;0;1;1;-1;
1;527;0;6.34058;0;1;1;-1;
1;528;0;6.35058;0;1;1;-1;
1;529;0;6.36057;0;1;1;-1;
1;530;0;6.37057;0;1;1;-1;
1;531;0;6.38056;0;1;1;-1;
1;532;0;6.39055;0;1;1;-1;
1;533;0;6.40055;0;1;1;-1;
1;534;0;6.41054;0;1;1;-1;
1;535;0;6.42054;0;1;1;-1;
1;536;0;6.43053;0;1;1;-1;
1;537;0;6.44053;0;1;1;-1;
1;538;0;6.45052;0;1;1;-1;
1;539;0;6.46052;0;1;1;-1;
1;540;0;6.47051;0;1;1;-1;
1;541;0;6.4805;0;1;1;-1;
1;542;0;6.4905;0;1;1;-1;
1;543;0;6.50049;0;1;1;-1;
1;544;0;6.51049;0;1;1;-1;
1;545;0;6.52048;0;1;1;-1;
