num;t;r;R;L
162;0.0906898;1.070267818;10.00296883;-4.956011411
163;0.090679462;1.07024173;10.00301908;-4.956017999
164;0.090669124;1.070215641;10.00306933;-4.95602459
165;0.090658786;1.070189552;10.00311958;-4.956031184
166;0.090648447;1.070163462;10.00316984;-4.956037781
167;0.090638108;1.070137371;10.00322009;-4.95604438
168;0.090632131;1.070122286;10.00324915;-4.956048197
169;0.090627769;1.07011128;10.00327035;-4.956050974
170;0.090617431;1.070085191;10.00332061;-4.956057561
171;0.090607093;1.0700591;10.00337088;-4.956064151
172;0.090596754;1.070033009;10.00342114;-4.956070743
173;0.090586415;1.070006917;10.00347141;-4.956077338
174;0.090576076;1.069980824;10.00352168;-4.956083936
175;0.090565737;1.069954731;10.00357195;-4.956090536
176;0.090555397;1.069928636;10.00362222;-4.956097139
177;0.090546215;1.069905463;10.00366686;-4.956103006
178;0.090545058;1.069902542;10.00367249;-4.956103743
179;0.090534719;1.069876448;10.00372277;-4.956110334
180;0.090524379;1.069850354;10.00377305;-4.956116927
181;0.09051404;1.06982426;10.00382333;-4.956123524
182;0.090503701;1.069798164;10.00387362;-4.956130122
183;0.090493361;1.069772068;10.0039239;-4.956136724
184;0.090483021;1.069745971;10.00397419;-4.956143329
185;0.090472681;1.069719873;10.00402448;-4.956149936
186;0.09046234;1.069693775;10.00407477;-4.956156546
187;0.090460306;1.06968864;10.00408467;-4.956157847
188;0.090452001;1.069667678;10.00412507;-4.956163144
189;0.090441661;1.069641581;10.00417536;-4.956169741
190;0.090431321;1.069615482;10.00422566;-4.956176342
191;0.090420981;1.069589384;10.00427596;-4.956182945
192;0.09041064;1.069563284;10.00432626;-4.95618955
193;0.0904003;1.069537184;10.00437657;-4.956196159
194;0.090389959;1.069511083;10.00442687;-4.95620277
195;0.090379618;1.069484981;10.00447718;-4.956209384
196;0.090374402;1.069471815;10.00450256;-4.956212721
197;0.090369277;1.069458879;10.00452749;-4.956215992
198;0.090358937;1.069432779;10.00457781;-4.956222593
199;0.090348596;1.069406677;10.00462812;-4.956229197
200;0.090338256;1.069380575;10.00467844;-4.956235804
201;0.090327915;1.069354472;10.00472876;-4.956242413
202;0.090317573;1.069328368;10.00477908;-4.956249026
203;0.090307232;1.069302264;10.0048294;-4.956255641
204;0.09029689;1.069276158;10.00487972;-4.956262259
205;0.090288504;1.069254989;10.00492054;-4.956267628
206;0.090286549;1.069250053;10.00493005;-4.956268876
207;0.090276208;1.069223949;10.00498038;-4.956275482
208;0.090265866;1.069197844;10.00503071;-4.95628209
209;0.090255525;1.069171738;10.00508105;-4.956288701
210;0.090245183;1.069145632;10.00513138;-4.956295314
211;0.090234841;1.069119525;10.00518172;-4.956301931
212;0.090224499;1.069093417;10.00523206;-4.95630855
213;0.090214157;1.069067308;10.0052824;-4.956315172
214;0.090203815;1.069041199;10.00533275;-4.956321797
215;0.090202612;1.069038162;10.0053386;-4.956322567
216;0.090193473;1.069015091;10.00538309;-4.956328408
217;0.090183131;1.068988982;10.00543344;-4.95633502
218;0.090172789;1.068962873;10.00548379;-4.956341635
219;0.090162447;1.068936764;10.00553415;-4.956348252
220;0.090152104;1.068910653;10.0055845;-4.956354873
221;0.090141761;1.068884542;10.00563486;-4.956361496
222;0.090131419;1.06885843;10.00568521;-4.956368122
223;0.090121076;1.068832317;10.00573557;-4.956374751
224;0.090116725;1.068821334;10.00575676;-4.95637754
225;0.090110733;1.068806205;10.00578594;-4.956381372
226;0.09010039;1.068780093;10.0058363;-4.956387988
227;0.090090048;1.06875398;10.00588667;-4.956394606
228;0.090079705;1.068727867;10.00593704;-4.956401228
229;0.090069361;1.068701753;10.00598741;-4.956407852
230;0.090059018;1.068675639;10.00603778;-4.95641448
231;0.090048675;1.068649523;10.00608816;-4.956421109
232;0.090038331;1.068623407;10.00613854;-4.956427742
233;0.090030844;1.068604505;10.006175;-4.956432544
234;0.090027987;1.068597291;10.00618891;-4.956434373
235;0.090017644;1.068571175;10.0062393;-4.956440993
236;0.090007301;1.068545059;10.00628968;-4.956447615
237;0.089996957;1.068518943;10.00634007;-4.956454241
238;0.089986613;1.068492825;10.00639046;-4.956460869
239;0.089976269;1.068466707;10.00644085;-4.956467501
240;0.089965925;1.068440588;10.00649124;-4.956474135
241;0.089955581;1.068414469;10.00654163;-4.956480771
242;0.089945236;1.068388348;10.00659203;-4.956487411
243;0.089944969;1.068387674;10.00659333;-4.956487582
244;0.089934893;1.06836223;10.00664243;-4.956494035
245;0.089924549;1.06833611;10.00669283;-4.956500662
246;0.089914204;1.06830999;10.00674323;-4.956507292
247;0.08990386;1.06828387;10.00679364;-4.956513924
248;0.089893515;1.068257748;10.00684404;-4.956520559
249;0.089883171;1.068231626;10.00689445;-4.956527197
250;0.089872826;1.068205503;10.00694486;-4.956533838
251;0.08986248;1.068179379;10.00699527;-4.956540482
252;0.0898591;1.068170843;10.00701174;-4.956542653
253;0.089852136;1.068153256;10.00704569;-4.956547116
254;0.089841791;1.068127133;10.00709611;-4.956553746
255;0.089831446;1.06810101;10.00714653;-4.95656038
256;0.089821101;1.068074886;10.00719695;-4.956567016
257;0.089810756;1.068048761;10.00724737;-4.956573656
258;0.08980041;1.068022635;10.0072978;-4.956580298
259;0.089790065;1.067996508;10.00734822;-4.956586942
260;0.089779719;1.067970381;10.00739865;-4.95659359
261;0.089773237;1.067954011;10.00743025;-4.956597756
262;0.089769373;1.067944254;10.00744908;-4.956600233
263;0.089759028;1.067918128;10.00749952;-4.956606868
264;0.089748683;1.067892001;10.00754996;-4.956613506
265;0.089738337;1.067865873;10.0076004;-4.956620146
266;0.089727991;1.067839745;10.00765084;-4.956626789
267;0.089717645;1.067813616;10.00770128;-4.956633435
268;0.089707299;1.067787486;10.00775172;-4.956640084
269;0.089696952;1.067761355;10.00780217;-4.956646736
270;0.089687379;1.067737178;10.00784884;-4.956652893
271;0.089686606;1.067735224;10.00785262;-4.956653389
272;0.08967626;1.067709095;10.00790307;-4.956660028
273;0.089665914;1.067682964;10.00795352;-4.956666669
274;0.089655567;1.067656833;10.00800398;-4.956673314
275;0.089645221;1.067630701;10.00805443;-4.956679961
276;0.089634874;1.067604569;10.00810489;-4.956686611
277;0.089624527;1.067578435;10.00815535;-4.956693264
278;0.08961418;1.067552301;10.00820582;-4.95669992
279;0.089603833;1.067526167;10.00825628;-4.956706578
280;0.089601527;1.067520344;10.00826752;-4.956708062
281;0.089593486;1.067500033;10.00830675;-4.956713225
282;0.089583139;1.067473899;10.00835722;-4.956719871
283;0.089572792;1.067447765;10.00840769;-4.956726519
284;0.089562445;1.067421629;10.00845817;-4.95673317
285;0.089552098;1.067395493;10.00850864;-4.956739824
286;0.08954175;1.067369357;10.00855912;-4.956746481
287;0.089531402;1.067343219;10.0086096;-4.956753141
288;0.089521055;1.067317081;10.00866008;-4.956759804
289;0.089515681;1.067303508;10.00868629;-4.956763264
290;0.089510707;1.067290943;10.00871057;-4.95676646
291;0.089500359;1.067264806;10.00876105;-4.95677311
292;0.089490012;1.067238668;10.00881154;-4.956779762
293;0.089479664;1.067212529;10.00886203;-4.956786417
294;0.089469316;1.06718639;10.00891253;-4.956793076
295;0.089458968;1.06716025;10.00896302;-4.956799736
296;0.089448619;1.067134109;10.00901352;-4.9568064
297;0.089438271;1.067107967;10.00906402;-4.956813067
298;0.089429841;1.067086672;10.00910515;-4.956818499
299;0.089427922;1.067081825;10.00911452;-4.956819733
