¹ point;t;r;R;L
3090;10.6934105571549;10.9774766410827;31.5478672240097;-5
3091;10.6934100135007;10.9774694246534;31.5478672240097;-5
3092;10.6934094698465;10.9774622082236;31.5478672240097;-5
3093;10.6934089261924;10.9774549917946;31.5478672240097;-5
3094;10.6934083825382;10.9774477753653;31.5478672240097;-5
3095;10.6934078388841;10.9774405589358;31.5478672240097;-5
3096;10.6934072952299;10.9774333425067;31.5478672240097;-5
3097;10.6934067515757;10.9774261260774;31.5478672240097;-5
3098;10.6934062079215;10.9774189096479;31.5478672240097;-5
3099;10.6934056642674;10.9774116932189;31.5478672240097;-5
3100;10.6934051206132;10.977404476789;31.5478672240097;-5
3101;10.6934045769591;10.9773972603601;31.5478672240097;-5
3102;10.6934040333049;10.9773900439309;31.5478672240097;-5
3103;10.6934034896507;10.9773828275012;31.5478672240097;-5
3104;10.6934029459965;10.9773756110714;31.5478672240097;-5
3105;10.6934024023424;10.9773683946428;31.5478672240097;-5
3106;10.6934018586882;10.9773611782133;31.5478672240097;-5
3107;10.693401315034;10.9773539617835;31.5478672240097;-5
3108;10.6934007713799;10.9773467453546;31.5478672240097;-5
3109;10.6934007659443;10.9773466732027;31.5478672240097;-5
3110;10.6933927336647;10.9772400532573;31.526835312527;-5
3111;10.6933846622469;10.9771329986719;31.5058034010443;-5
3112;10.6933765514895;10.9770255076017;31.4847714895616;-5
3113;10.693368401187;10.9769175781516;31.463739578079;-5
3114;10.6933602111327;10.9768092084194;31.4427076665963;-5
3115;10.6933519811214;10.9767003965279;31.4216757551136;-5
3116;10.6933437109439;10.9765911405534;31.400643843631;-5
3117;10.6933375537231;10.9765098632576;31.385054455021;-5
3118;10.6933354050078;10.9764815162724;31.3796119321483;-5
3119;10.6933270538848;10.9763713665794;31.3585800206656;-5
3120;10.6933186619647;10.9762607670307;31.337548109183;-5
3121;10.6933102290333;10.9761497156634;31.3165161977003;-5
3122;10.6933017548774;10.9760382105324;31.2954842862176;-5
3123;10.6932932392816;10.9759262496743;31.2744523747349;-5
3124;10.6932846820293;10.9758138311155;31.2534204632523;-5
3125;10.6932760829023;10.975700952867;31.2323885517696;-5
3126;10.6932674416818;10.9755876129399;31.2113566402869;-5
3127;10.6932587581476;10.9754738093343;31.1903247288043;-5
3128;10.6932500320778;10.9753595400337;31.1692928173216;-5
3129;10.6932412632497;10.9752448030184;31.1482609058389;-5
3130;10.6932324514402;10.9751295962712;31.1272289943563;-5
3131;10.693223596422;10.9750139177282;31.1061970828736;-5
3132;10.693214697971;10.9748977653703;31.0851651713909;-5
3133;10.6932057558573;10.9747811371137;31.0641332599082;-5
3134;10.6931973685669;10.9746718333865;31.0445003571905;-5
3135;10.6931967714832;10.9746640580134;31.0431013484256;-5
3136;10.6931877413618;10.9745464718294;31.0220694369429;-5
3137;10.6931786668867;10.9744284035186;31.0010375254603;-5
3138;10.6931695478257;10.974309850995;30.9800056139776;-5
3139;10.693160383942;10.9741908121205;30.9589737024949;-5
3140;10.6931511750022;10.9740712848078;30.9379417910122;-5
3141;10.6931419207678;10.97395126691;30.9169098795296;-5
3142;10.6931326210003;10.9738307562922;30.8958779680469;-5
3143;10.6931232754598;10.9737097508036;30.8748460565642;-5
3144;10.693113883906;10.9735882483003;30.8538141450816;-5
3145;10.6931044460942;10.9734662465835;30.8327822335989;-5
3146;10.6930949617826;10.9733437435049;30.8117503221162;-5
3147;10.6930854307241;10.9732207368551;30.7907184106335;-5
3148;10.6930758526726;10.97309722444;30.7696864991509;-5
3149;10.6930662273794;10.9729732040455;30.7486545876682;-5
3150;10.6930565545957;10.9728486734632;30.7276226761855;-5
3151;10.693053257423;10.9728062592549;30.720480361934;-5
3152;10.6930468405057;10.9727237361571;30.7065907647029;-5
3153;10.6930370720065;10.9725981787512;30.6855588532202;-5
3154;10.6930272552588;10.9724721044265;30.6645269417375;-5
3155;10.6930173900073;10.9723455109199;30.6434950302549;-5
3156;10.6930074759936;10.9722183959394;30.6224631187722;-5
3157;10.6929975129606;10.9720907572164;30.6014312072895;-5
3158;10.692987500647;10.9719625924382;30.5803992958069;-5
3159;10.6929774387925;10.9718338993093;30.5593673843242;-5
3160;10.6929673271343;10.9717046755159;30.5383354728415;-5
3161;10.6929571654058;10.9715749187009;30.5173035613588;-5
3162;10.6929469533442;10.9714446265625;30.4962716498762;-5
3163;10.6929366906795;10.9713137967196;30.4752397383935;-5
3164;10.6929263771433;10.9711824268161;30.4542078269108;-5
3165;10.6929160124646;10.9710505144728;30.4331759154282;-5
3166;10.6929055963726;10.9709180573222;30.4121440039455;-5
3167;10.692905266418;10.970913864895;30.4114799090046;-5
3168;10.6928951295453;10.9707850684277;30.3911120924628;-5
3169;10.6928846098044;10.9706515144664;30.3700801809802;-5
3170;10.6928740378238;10.9705174084694;30.3490482694975;-5
3171;10.6928634133227;10.9703827479736;30.3280163580148;-5
3172;10.6928527360236;10.9702475305707;30.3069844465322;-5
3173;10.6928420056428;10.970111753781;30.2859525350495;-5
3174;10.6928312218971;10.9699754151389;30.2649206235668;-5
3175;10.6928203845016;10.969838512171;30.2438887120841;-5
3176;10.6928094931699;10.9697010423887;30.2228568006015;-5
3177;10.6927985476134;10.9695630032861;30.2018248891188;-5
3178;10.6927875475412;10.9694243923392;30.1807929776361;-5
3179;10.692776492663;10.9692852070395;30.1597610661535;-5
3180;10.6927653826834;10.9691454448234;30.1387291546708;-5
3181;10.6927542173081;10.9690051031515;30.1176972431881;-5
3182;10.6927534463164;10.9689954203824;30.116249727199;-5
3183;10.692742998402;10.9688642141693;30.0966653317054;-5
3184;10.6927317213498;10.9687227059668;30.0756334202228;-5
3185;10.6927203880069;10.9685806105911;30.0546015087401;-5
3186;10.6927089980698;10.9684379254227;30.0335695972575;-5
3187;10.6926975512348;10.9682946478527;30.0125376857748;-5
3188;10.6926860471956;10.9681507752458;29.9915057742921;-5
3189;10.6926744856457;10.9680063049757;29.9704738628094;-5
3190;10.6926628662749;10.9678612343781;29.9494419513268;-5
3191;10.6926511887732;10.9677155608027;29.9284100398441;-5
3192;10.6926394528261;10.9675692815521;29.9073781283614;-5
3193;10.6926276581194;10.9674223939422;29.8863462168788;-5
3194;10.6926158043362;10.9672748952652;29.8653143053961;-5
3195;10.6926038911593;10.9671267828213;29.8442823939134;-5
3196;10.692597832989;10.9670515273742;29.8336308946976;-5
3197;10.6925919273257;10.9669781978435;29.8232504824308;-5
3198;10.6925798944285;10.9668288500329;29.8022185709481;-5
3199;10.6925678011708;10.9666788802229;29.7811866594654;-5
3200;10.6925556472249;10.9665282856215;29.7601547479827;-5
3201;10.6925434322635;10.9663770634542;29.7391228365001;-5
3202;10.6925311559575;10.9662252109334;29.7180909250174;-5
3203;10.6925188179738;10.9660727252313;29.6970590135347;-5
3204;10.6925064179784;10.9659196035223;29.6760271020521;-5
3205;10.692493955637;10.9657658429857;29.6549951905694;-5
3206;10.6924814306108;10.9656114407557;29.6339632790867;-5
3207;10.6924688425599;10.9654563939631;29.6129313676041;-5
3208;10.6924561911427;10.9653006997319;29.5918994561214;-5
3209;10.6924434760155;10.965144355167;29.5708675446387;-5
3210;10.6924384637241;10.9650827769922;29.5626091585337;-5
3211;10.6924307061329;10.9649875036524;29.549835633156;-5
3212;10.6924178625799;10.9648298500948;29.5288037216734;-5
3213;10.6924049542735;10.9646715374378;29.5077718101907;-5
3214;10.6923919808624;10.9645125627387;29.486739898708;-5
3215;10.6923789419909;10.9643529230113;29.4657079872254;-5
3216;10.6923658373036;10.9641926152852;29.4446760757427;-5
3217;10.6923526664413;10.9640316365536;29.42364416426;-5
3218;10.6923394290456;10.9638699838323;29.4026122527774;-5
3219;10.6923261247518;10.9637076540703;29.3815803412947;-5
3220;10.6923127531968;10.9635446442495;29.360548429812;-5
3221;10.6922993140122;10.9633809512961;29.3395165183294;-5
3222;10.6922858068293;10.9632165721448;29.3184846068467;-5
3223;10.6922753809506;10.96308980136;29.3023254133793;-5
3224;10.692272238703;10.9630516193979;29.297452695364;-5
3225;10.6922585944353;10.962885858924;29.2764207838813;-5
3226;10.69224488105;10.9627194029677;29.2553888723987;-5
3227;10.6922310981679;10.9625522483845;29.234356960916;-5
3228;10.6922172454086;10.962384392028;29.2133250494333;-5
3229;10.6922033223906;10.9622158307479;29.1922931379507;-5
3230;10.6921893287284;10.9620465613591;29.171261226468;-5
3231;10.6921752640347;10.9618765806656;29.1502293149853;-5
3232;10.6921611279207;10.9617058854692;29.1291974035027;-5
3233;10.6921469199955;10.9615344725523;29.10816549202;-5
3234;10.6921326398631;10.9613623386551;29.0871335805373;-5
3235;10.6921182871281;10.961189480533;29.0661016690546;-5
3236;10.6921086199202;10.961073154529;29.0519987872647;-5
3237;10.692103871257;10.961016047108;29.045069757572;-5
3238;10.6920893721543;10.9608417311397;29.0240378460893;-5
3239;10.6920747992451;10.9606666810783;29.0030059346066;-5
3240;10.6920601521239;10.9604908936108;28.981974023124;-5
3241;10.6920454303816;10.9603143653899;28.9609421116413;-5
3242;10.6920306336075;10.9601370930656;28.9399102001586;-5
3243;10.6920157613891;10.9599590732787;28.918878288676;-5
3244;10.6920008133086;10.9597803026205;28.8978463771933;-5
3245;10.6919857889496;10.9596007777085;28.8768144657106;-5
3246;10.6919706878895;10.9594204951033;28.855782554228;-5
3247;10.6919555097061;10.9592394513822;28.8347506427453;-5
3248;10.6919402539735;10.9590576430908;28.8137187312626;-5
3249;10.6919382125763;10.959033336462;28.8109141775242;-5
3250;10.6919249257922;10.9588751512234;28.7926868197799;-5
3251;10.6919095136919;10.9586918035857;28.7716549082973;-5
3252;10.6918940227485;10.9585076809054;28.7506229968146;-5
3253;10.6918784525248;10.9583227796486;28.7295910853319;-5
3254;10.6918628025832;10.9581370962916;28.7085591738493;-5
3255;10.691847072481;10.9579506272624;28.6875272623666;-5
3256;10.6918312617738;10.9577633689836;28.6664953508839;-5
3257;10.6918153700158;10.9575753178751;28.6454634394013;-5
3258;10.6917993967556;10.957386470305;28.6244315279186;-5
3259;10.6917833415412;10.9571968226481;28.6033996164359;-5
3260;10.691767203918;10.9570063712631;28.5823677049532;-5
3261;10.6917641930958;10.9569708701049;28.5784577965806;-5
3262;10.6917509911425;10.9568152292564;28.5613357934706;-5
3263;10.6917346873535;10.9566231597327;28.5403038819879;-5
3264;10.691718299772;10.9564302754083;28.5192719705052;-5
3265;10.6917018279339;10.9562365725881;28.4982400590226;-5
3266;10.6916852713689;10.9560420475185;28.4772081475399;-5
3267;10.6916686296045;10.9558466964357;28.4561762360572;-5
3268;10.6916519021654;10.955650515555;28.4351443245746;-5
3269;10.6916350885747;10.9554535010932;28.4141124130919;-5
3270;10.6916181883517;10.9552556492327;28.3930805016092;-5
3271;10.691601201012;10.9550569561297;28.3720485901265;-5
3272;10.6915865873945;10.954886181041;28.3540434746665;-5
3273;10.6915841327166;10.9548575177134;28.3510166786439;-5
3274;10.6915669697063;10.9546571308433;28.3299847671612;-5
3275;10.691549718111;10.9544558911162;28.3089528556785;-5
3276;10.6915323774354;10.9542537946208;28.2879209441959;-5
3277;10.69151494718;10.9540508374159;28.2668890327132;-5
3278;10.6914974268431;10.9538470155484;28.2458571212305;-5
3279;10.6914798159206;10.9536423250545;28.2248252097479;-5
3280;10.6914621139045;10.9534367619393;28.2037932982652;-5
3281;10.6914443202828;10.9532303221795;28.1827613867825;-5
3282;10.691426434543;10.9530230017602;28.1617294752999;-5
3283;10.691408456166;10.9528147966088;28.1406975638172;-5
3284;10.6914054251343;10.9527797265143;28.1371643925419;-5
3285;10.6913903926767;10.9526058222928;28.1196656523345;-5
3286;10.6913722274946;10.9523958358246;28.0986337408518;-5
3287;10.6913539681045;10.9521849523431;28.0776018293692;-5
3288;10.691335613978;10.9519731677308;28.0565699178865;-5
3289;10.6913171645797;10.9517604778105;28.0355380064038;-5
3290;10.6912986193753;10.9515468784297;28.0145060949212;-5
3291;10.6912799778235;10.9513323653758;27.9934741834385;-5
3292;10.6912612393809;10.9511169344285;27.9724422719558;-5
3293;10.6912424035013;10.9509005813494;27.9514103604732;-5
3294;10.6912234696338;10.9506833018684;27.9303784489905;-5
3295;10.6912207318555;10.9506519127226;27.9273480617589;-5
3296;10.6912044447493;10.9504652026463;27.9093465375078;-5
3297;10.6911853132734;10.95024605784;27.8883146260251;-5
3298;10.6911660821393;10.9500259737157;27.8672827145425;-5
3299;10.6911467507847;10.9498049459412;27.8462508030598;-5
3300;10.6911273186413;10.94958297013;27.8252188915771;-5
3301;10.6911077851379;10.9493600418839;27.8041869800945;-5
